packet_id,time_stamp,src_mac,dest_mac,src_ip,dest_ip,protoc,src_port,dest_port,port_categ,packet_categ,payload
44,2024-11-30 18:27:09,8:12:a5:dc:3b:6d,1c:57:dc:65:81:f2,10.192.67.31,10.192.67.245,TCP,8009,53631,Unknown,Other TCP Traffic,01 01 08 0a 00 3a c0 91 21 6f 5f 01 
45,2024-11-30 18:27:09,8:12:a5:dc:3b:6d,1c:57:dc:65:81:f2,10.192.67.31,10.192.67.245,TCP,8009,53631,Unknown,Other TCP Traffic,01 01 08 0a 00 3a c0 94 21 6f 5f 01 48 54 54 50 2f 31 2e 31 20 34 30 34 20 4e 6f 74 20 46 6f 75 6e 64 20 0d 0a 43 6f 6e 74 65 6e 74 2d 54 79 70 65 3a 20 74 65 78 74 2f 70 6c 61 69 6e 0d 0a 44 61 74 65 3a 20 53 61 74 2c 20 33 30 20 4e 6f 76 20 32 30 32 34 20 31 37 3a 32 37 3a 30 39 20 47 4d 54 0d 0a 43 6f 6e 6e 65 63 74 69 6f 6e 3a 20 6b 65 65 70 2d 61 6c 69 76 65 0d 0a 43 6f 6e 74 65 6e 74 2d 4c 65 6e 67 74 68 3a 20 32 31 0d 0a 0d 0a 
46,2024-11-30 18:27:09,1c:57:dc:65:81:f2,8:12:a5:dc:3b:6d,10.192.67.245,10.192.67.31,TCP,53631,8009,Unknown,Other TCP Traffic,01 01 08 0a 21 6f 5f 26 00 3a c0 94 
47,2024-11-30 18:27:09,8:12:a5:dc:3b:6d,1c:57:dc:65:81:f2,10.192.67.31,10.192.67.245,TCP,8009,53631,Unknown,Other TCP Traffic,01 01 08 0a 00 3a c0 95 21 6f 5f 26 45 72 72 6f 72 20 34 30 34 2c 20 4e 6f 74 20 66 6f 75 6e 64 2e 
48,2024-11-30 18:27:09,1c:57:dc:65:81:f2,8:12:a5:dc:3b:6d,10.192.67.245,10.192.67.31,TCP,53631,8009,Unknown,Other TCP Traffic,01 01 08 0a 21 6f 5f 2c 00 3a c0 95 
49,2024-11-30 18:27:10,1c:57:dc:65:81:f2,8:12:a5:dc:3b:6d,10.192.67.245,10.192.67.31,TCP,53631,8009,Unknown,Other TCP Traffic,01 01 08 0a 21 6f 5f 5f 00 3a c0 95 
50,2024-11-30 18:27:10,8:12:a5:dc:3b:6d,1c:57:dc:65:81:f2,10.192.67.31,10.192.67.245,TCP,8009,53631,Unknown,Other TCP Traffic,01 01 08 0a 00 3a c0 9a 21 6f 5f 5f 
51,2024-11-30 18:27:10,1c:57:dc:65:81:f2,8:12:a5:dc:3b:6d,10.192.67.245,10.192.67.31,TCP,53631,8009,Unknown,Other TCP Traffic,01 01 08 0a 21 6f 5f 65 00 3a c0 9a 
52,2024-11-30 18:27:10,1c:57:dc:65:81:f2,e8:65:5f:b6:dd:83,10.192.67.245,35.186.224.24,UDP,55547,443,HTTPS,Other UDP Traffic,48 e8 1d 7e 01 6e 5d 44 84 90 c5 15 f2 57 23 e8 8d 8a ad d8 0c 9a d3 ef 5e d9 16 02 2f 05 2f 4b 25 f7 a3 72 b2 2e a7 ad 26 53 c5 8d 1a 1f 2b d0 52 b8 a3 5d b6 13 70 33 86 76 63 af af 06 a4 f4 45 4a 21 16 63 28 c5 3e 54 a0 6d 7c e1 a5 13 22 75 08 f3 44 d5 27 43 c7 35 d5 a9 74 ef 60 6f 3c 17 fd 1a 74 39 2f 27 e8 19 e1 46 81 d8 f4 02 55 3e 0a cf 78 c4 5d fc 88 e8 66 0a a3 d7 39 13 1b 78 af 1c a7 8f 52 9a 82 f3 15 3f 2f 04 ed 61 79 17 b2 9c 09 dc 24 d1 84 05 b6 ba b0 b4 04 a4 b6 f3 02 be 06 ce c7 78 98 e3 51 91 a9 0f f8 bb 07 c9 cc 54 26 f3 33 18 18 4c a2 56 af 1b 7f 54 64 d3 89 f7 2f 10 4a ce dd 5b 40 00 29 fb 4e c6 19 82 6e 3e ca 73 5b e3 c5 4b fc c8 f5 6a 28 9f 35 8d 03 37 49 ba 36 e5 8f 24 ac 7c 88 ca 98 25 70 3a ed 74 0d 8e 8a 94 39 2d 79 8c 60 6d 33 63 eb 1f 57 ad 17 e8 a6 b3 91 28 14 cc 02 03 7f 30 83 7a 2c b0 54 1a a2 e0 cb c7 d8 53 a6 7f 20 bd 6f 2f 1a 41 9f ad 42 2f 54 f6 d2 69 a7 04 cf dc 4f 74 a2 55 28 b9 fc 1c 25 18 80 9d 41 b3 bc 52 e2 f2 e1 d9 bd 8c 11 56 83 97 f6 22 31 f6 a6 1d 1f fb 67 fc 5e 82 7c ce 52 16 b8 7a ee 54 1f 28 77 ad 2c 7c 60 99 18 36 03 39 6b 4b 3f aa 4b 50 51 91 64 8d cd 46 c2 e4 4f e1 f4 25 b3 79 3a a6 dc 44 84 37 f2 c2 30 e5 f9 e2 04 c6 b9 e6 b8 2c 72 11 ca ad 2c ee 10 90 d2 61 48 e7 d9 ab 74 f9 27 35 16 b5 5a 8a 44 0c cb 9a e1 2a 0a 07 2e 16 f1 8c ee f2 d5 60 ab 51 6d 84 a6 4b 0c bc 7c 5b a1 56 97 0a 39 7c 76 84 9b 03 1d 46 5d 33 38 e3 90 c3 c9 9f 7f 81 5f 99 0d f7 a3 f4 9f 5b 8f 63 b9 95 e7 26 31 4b 2e 7d 02 a7 b7 b3 c4 11 3d 57 2c d3 67 7d c2 0a 66 70 33 ab 9c 58 e7 a9 7b ed ec 90 6c 3d 69 d3 dd ba c2 b0 8e ec ec 1a 92 92 f2 7c cd cc 2f 41 df 37 75 35 2d bb b1 d4 30 db 92 11 50 f3 bf 36 4a 6d 48 c2 ff 51 05 b8 d9 ea af c4 3a dc 5b bd f5 c4 56 dc fe 5b 13 8b 5a c2 9f cf 8d d3 d7 48 67 96 64 e9 26 ae 99 16 b9 3d 95 7e b6 35 96 b5 da 8b 75 82 a3 ec b7 a2 bd 02 d8 75 a2 4e 61 33 da 68 fe 37 cc ba 9c e6 05 8b 65 be 80 50 80 c6 6b 1b cb f6 94 5d 50 4e 53 7c 1c 0f 12 10 84 e4 1b 10 f1 78 8f 2d 89 3a 9f e4 06 7d 15 69 29 c2 c0 0e dd ac c6 d6 c8 e8 db f0 2c 2f 54 13 39 1a 1a 83 80 05 57 7b 08 cb 75 82 97 5e 1d 72 ca 1a 6e 33 c5 1d 0b dd 9d 07 f8 df 8a 20 a1 07 8f ef 56 a6 66 65 a7 e0 ff cc 95 67 21 d8 96 59 c5 fa e5 26 8e 06 85 be 76 cb b9 ed c3 9d c7 a1 1a 87 06 f9 f0 c2 74 2f 37 b8 98 c9 34 ff bd ba 93 83 c6 d0 c2 52 96 39 bb 6c 40 50 02 11 f3 5f 16 bc 63 37 c7 69 a0 f2 0c f1 d1 f6 9c 0f 76 f9 1e 07 6c 5b e1 7c 2d 29 c8 07 97 b9 33 88 bd ce 24 c3 a7 1d 06 7a 33 97 ed 40 70 54 81 c1 42 18 67 6c c1 c7 93 38 5a f4 09 3c a2 47 b3 f4 53 ca 37 5b e9 36 80 9a 6d 9f 77 aa 98 51 06 f8 c3 18 ee a1 30 cf a0 b7 59 51 0d 0f ae fc 0a 57 5d 24 f1 e0 04 23 e7 e8 df 8f 60 60 13 9c 18 3a 02 ac bf 36 07 e8 e3 8b 36 6b 6c 0f 5d e4 2f e4 88 37 a0 18 b3 04 72 70 d1 ec b2 63 63 79 ac fc ca e1 fb 36 39 47 6a 4c c2 f1 2d 16 bf 05 27 a8 51 26 91 73 9a a0 4e 8a ae 84 e6 a8 4c 40 26 e1 42 65 42 f6 b6 d0 90 dd 7d 17 51 b9 e8 2c a1 4e f7 eb c6 cd 4f 39 b3 db 5c 65 52 c4 95 05 3b 30 e6 32 40 7f 41 00 00 ee 4a 4b 67 37 68 0d 00 00 04 00 00 0c 05 00 00 12 00 e8 65 5f b6 dd 83 1c 57 dc 65 81 f2 08 00 45 00 04 fe 00 00 40 00 40 11 e3 67 0a c0 43 f5 23 ba e0 18 d8 fb 01 bb 04 ea 39 be 5e e8 1d 7e 01 6e 5d 44 84 b7 a9 47 7f fb b5 d2 da dc 88 c1 f2 5c 3b d5 f9 3f 56 f2 cb 2a 77 d3 93 c0 00 46 3e 6f f3 b4 0a 4e df f4 47 1c c1 15 d1 c2 b4 30 d2 9b ed 94 16 1d 17 0a 87 75 e2 bf 37 24 8c cd 59 e1 3d d2 5c 3f 3f 7b 33 d5 ad cb 97 d6 a9 71 c6 c3 d0 e6 e0 1b 7e e6 0d c3 4e 12 bd 09 e9 5f 2d b8 ca 9d d3 cf b3 84 04 61 a7 45 3e e4 56 0f bc 57 44 c9 4f 57 e5 03 a7 cf 7b 65 35 cc f7 0b 68 f9 90 77 bc 5d a7 c8 06 44 22 2f df a2 54 42 ea d7 80 cc 11 1e f7 b4 89 aa 49 da b9 a3 91 cf 4f 8b 7c e0 6c 4e e4 aa e0 6a 33 d3 3a 48 56 b5 f0 04 69 b4 d6 6b 70 52 5a 31 6b b3 aa f9 50 b9 e6 88 4d e8 21 f9 
53,2024-11-30 18:27:10,1c:57:dc:65:81:f2,e8:65:5f:b6:dd:83,10.192.67.245,35.186.224.24,UDP,55547,443,HTTPS,Other UDP Traffic,5e e8 1d 7e 01 6e 5d 44 84 b7 a9 47 7f fb b5 d2 da dc 88 c1 f2 5c 3b d5 f9 3f 56 f2 cb 2a 77 d3 93 c0 00 46 3e 6f f3 b4 0a 4e df f4 47 1c c1 15 d1 c2 b4 30 d2 9b ed 94 16 1d 17 0a 87 75 e2 bf 37 24 8c cd 59 e1 3d d2 5c 3f 3f 7b 33 d5 ad cb 97 d6 a9 71 c6 c3 d0 e6 e0 1b 7e e6 0d c3 4e 12 bd 09 e9 5f 2d b8 ca 9d d3 cf b3 84 04 61 a7 45 3e e4 56 0f bc 57 44 c9 4f 57 e5 03 a7 cf 7b 65 35 cc f7 0b 68 f9 90 77 bc 5d a7 c8 06 44 22 2f df a2 54 42 ea d7 80 cc 11 1e f7 b4 89 aa 49 da b9 a3 91 cf 4f 8b 7c e0 6c 4e e4 aa e0 6a 33 d3 3a 48 56 b5 f0 04 69 b4 d6 6b 70 52 5a 31 6b b3 aa f9 50 b9 e6 88 4d e8 21 f9 c8 73 77 27 06 81 64 8b eb 75 2c c8 be 57 b6 2d 1f a6 26 45 f0 33 25 97 d3 f5 54 5c ee da db 3c cc 8a 04 bf 99 9b 10 2a b6 94 5a 00 e6 3f cb ee cb 19 ab 1b fc ac 6a 1d 58 8c 36 3d 42 49 07 2f 36 9d f7 a9 35 5c a5 c1 0e 85 90 1a 5f 6a de e9 95 c3 91 7e e6 4b 92 21 c5 9c 44 ef 69 c6 3d 55 2e 12 3e 5f 5e af 2a 12 13 73 ed 4c 0b c2 6c 62 84 a9 04 d0 bd cc db 44 56 71 8f 25 dd 45 a7 45 e4 f9 c7 53 74 22 26 76 a4 e5 fe c6 79 94 ef 73 07 e9 f5 a2 1e 83 ce 4e 8c 44 70 34 fa b8 44 a7 f2 70 96 83 06 76 5a dd 4d 8d e4 27 03 ac b8 c2 e0 ec 67 16 ab 1a 2d 53 77 c7 dd 3f 20 2b c1 7f 50 62 a0 90 7f 16 c0 b7 0c 8b b3 ef dc f3 69 3d 55 8f b4 bc ea e5 74 d3 35 6a 85 33 67 97 d1 0c 77 c6 29 c8 d4 ed 00 e5 ae ee 4e b3 28 ee 0a a3 8d ff 71 ca 4d d2 ad dd 7f 9b 1b ac 01 f2 cb 86 e9 d7 02 e2 13 f5 47 c9 89 37 64 71 0e f2 36 92 b8 d4 2d f6 1e f4 b2 e9 43 47 92 04 e2 7e 5b 2f 14 03 d8 dc ca ee 81 a6 22 46 52 84 47 ff 04 2e 3d 7d 8e a7 df 86 6b f0 dd 71 78 6f 80 56 9e 9a 48 f6 f8 27 a3 41 d9 ea 78 16 26 26 16 14 33 24 59 61 8c 38 36 4c 84 d4 f6 02 7e fc 3d 5e 5d 44 63 c4 50 bc 6a c4 c7 ca 3c 8d ea 55 b1 78 07 c1 8c 88 f7 12 b9 88 84 b1 4f 44 00 6e 31 dd 1d 20 31 5c 16 7e 27 fb 88 6c 80 70 0f 0d e3 30 ac 45 5b cb e6 b3 d2 4a 71 77 b9 a1 cf 0b a7 07 a4 a6 24 4c 40 cf 48 10 4e 73 39 90 45 22 26 9e 2d c0 2a d6 a4 55 af d9 44 af fd 82 1d 02 af 03 b9 ef 75 30 eb ec 7c 53 7f dc b3 4c a1 b7 a8 61 fd f5 e4 3e c3 6e c9 9c 3f 0d 9e 66 7f 61 8a 76 e2 01 a9 0b 1d aa c7 ba 73 89 9c 6b f9 2c 45 bc 70 c8 b0 ed 0c d4 f6 32 09 f3 7c fa 23 40 af 50 de 44 51 5a 77 c5 ea 7b 64 4f 54 aa 42 29 42 79 86 55 57 61 d1 83 6a fd a0 cb 57 6f 33 24 6d 15 46 22 b5 77 68 d2 27 b0 30 d0 f5 04 a6 f9 7d 3b f5 6f d3 40 76 17 cf a1 3c 5c 26 11 b7 e0 c4 1a 9d 1f 27 2c 17 db 0a a6 e0 69 dc 9a 6b 78 14 69 a8 70 4f 21 b0 3f f5 aa 4d 8a 53 0f 6d 71 db 5e f5 46 25 bc 86 b1 8a be 76 5c f2 92 4f 07 a9 fa 16 62 7f d9 7b 9a 1c 44 fa 0b c0 91 bd 16 01 c7 36 1a ba ea 0a 6a 26 83 78 15 9c 7d 51 52 d9 00 ee aa d4 8b f7 bb cc 61 9f d6 95 66 1c 57 c1 22 21 5d c3 12 03 ae fa 1e 01 bf a6 fc 51 de 9a fa fa 5f 6a 87 72 05 8d 9c 67 52 f2 58 57 76 5e ce 56 5b af 68 72 bf 6a 1d db 9b 8b e8 c8 3a 2e 7b a7 9a 20 dd 88 94 d1 9a 4d ba 20 ff 1d f8 0d 4e 14 f1 23 19 10 af 0e df fa 3c d6 7d f4 7d 7d fd 7d 7e e7 99 ea 42 79 0a f0 d5 a0 fc df 84 65 54 8e 94 a1 77 28 43 24 76 37 25 d0 de bd 04 00 00 ee 4a 4b 67 39 68 0d 00 a2 03 00 00 a2 03 00 00 12 00 e8 65 5f b6 dd 83 1c 57 dc 65 81 f2 08 00 45 00 03 94 00 00 40 00 40 11 e4 d1 0a c0 43 f5 23 ba e0 18 d8 fb 01 bb 03 80 27 7c 50 e8 1d 7e 01 6e 5d 44 84 5b ab 6d fc bb 85 95 83 d0 a4 e4 60 f3 7e 44 71 a4 9a f8 09 b5 61 6f 16 20 9e 72 8f 08 41 4e 7f d1 38 2d 46 6d a2 01 26 95 01 c2 5e 52 40 cf 86 db 46 99 f7 04 70 a0 7c a6 0d d7 c0 90 48 98 d5 b7 9c aa d3 d5 68 2e 7a 36 5b 21 43 4b df e5 9f 85 56 69 a3 8f e7 ef 24 a5 44 f1 07 5e 2f a7 87 35 e3 ca 4e 00 e3 13 2b e8 10 42 af f5 75 bb 51 44 45 05 a3 87 07 d0 8f 11 cf 20 40 e2 a3 89 2d 58 56 4d 09 1f f7 40 9c ce 3f 7f 59 6a 90 20 33 f5 d2 3d a5 a3 40 ac c2 22 90 53 d1 45 4d fa 89 33 c2 b0 db 11 6f fd 85 37 c3 5c 94 9c 6b 65 98 9f 7a 9d 5c 40 c2 1d 2f f7 18 77 f0 d2 b7 6c 7d c4 cb 39 c3 43 
